,영화명,감독,배급사,개봉일,국적,스크린수,매출액,관객수,장르,등급,연도
4672,은밀한 가족,알렉산드로스 아브라나스,(주)엔케이컨텐츠,2014.4.10,그리스,5,8378000,"1,045",드라마,청소년관람불가,2014
4673,포르노 메이커,쉐인 스탠리,주식회사 풍경소리,2014.4.10,미국,5,2911500,573,드라마,청소년관람불가,2014
4674,헤라클레스 : 레전드 비긴즈,레니 할린,(주)넥스트엔터테인먼트월드(NEW),2014.4.10,미국,390,1662172151,"221,327",액션,15세이상관람가,2014
4675,니드 포 스피드,스캇 워프,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.4.16,미국,349,835859900,"105,340",액션,15세이상관람가,2014
4676,다이버전트,닐 버거,롯데쇼핑㈜롯데엔터테인먼트,2014.4.16,미국,511,3297709011,"424,041",SF,15세이상관람가,2014
4677,도쿄 파이브 걸,칸바라 나오토,(주)도키엔터테인먼트,2014.4.16,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4678,런어웨이걸의 정사,아사오 마사히로,(유)조이앤컨텐츠그룹,2014.4.16,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4679,시선,이장호,(주)나이너스엔터테인먼트,2014.4.16,한국,112,90171000,"12,694",드라마,12세이상관람가,2014
4680,아워즈,에릭 헤이저러,(주)박수엔터테인먼트,2014.4.16,미국,29,13626700,"2,492",드라마,15세이상관람가,2014
4681,페이스 오브 러브,아리 포신,(주)영화사 빅,2014.4.16,미국,222,585768905,"79,179",드라마,15세이상관람가,2014
4682,필로미나의 기적,스티븐 프리어스,씨네그루(주)다우기술,2014.4.16,영국,194,249884600,"34,501",드라마,12세이상관람가,2014
4683,3억원에 낙찰된 여자,치즈카 코이치,(주)도키엔터테인먼트,2014.4.16,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4684,거꾸로 된 파테마,요시우라 야스히로,에이원엔터테인먼트,2014.4.17,일본,35,15357000,"1,957",애니메이션,12세이상관람가,2014
4685,그랜드 피아노,유지니오 미라,와이드 릴리즈(주),2014.4.17,스페인,95,149337000,"20,961",스릴러,15세이상관람가,2014
4686,나이트 오브 더 데드,마크 앳킨스,(주)스넵쏘울,2014.4.17,미국,1,270000,54,공포(호러),청소년관람불가,2014
4687,디아즈: 이 피를 지우지 말라,다니엘레 비카리,(주)미디어데이,2014.4.17,이탈리아,5,4006000,731,드라마,청소년관람불가,2014
4688,러브멘토,신혜성,(주)나우콘텐츠,2014.4.17,한국,1,270000,54,멜로/로맨스,청소년관람불가,2014
4689,메이크 유어 무브,듀안 아들러,(주)씨제이이엔엠,2014.4.17,한국,96,73741600,"9,368",멜로/로맨스,12세이상관람가,2014
4690,미라클맨,마크 러팔로,(주)수키픽쳐스,2014.4.17,미국,2,900000,150,코미디,15세이상관람가,2014
4691,빨간머리 앤 : 네버엔딩스토리,다카하타 이사오,와이드 릴리즈(주),2014.4.17,일본,96,43118400,"6,167",애니메이션,전체관람가,2014
4692,쇼트피스,오토모 가츠히로,(주)도키엔터테인먼트,2014.4.17,일본,6,13992000,"1,975",애니메이션,12세이상관람가,2014
4693,수호지-강호의 장청,류신의,(주)케이알씨지,2014.4.17,중국,5,1145000,342,액션,12세이상관람가,2014
4694,스위니,닉 러브,(주)엣나인필름,2014.4.17,영국,6,6905000,"1,126",액션,청소년관람불가,2014
4695,신부의 아이들,빈코 브레잔,(주)영화사 진진,2014.4.17,크로아티아,5,4427000,581,코미디,청소년관람불가,2014
4696,신의 전사,조엘 노보아,(주)팝엔터테인먼트,2014.4.17,베네수엘라,5,3834000,552,액션,15세이상관람가,2014
4697,여자의 정사,후안 드라고,주식회사 풍경소리,2014.4.17,미국,5,2912500,575,드라마,청소년관람불가,2014
4698,영주의 애인,그레니오 봉데,(주)누리픽쳐스,2014.4.17,프랑스,1,8000,1,드라마,청소년관람불가,2014
4699,오기와 악동들 더 무비,올리비에 장 마리,(주)팝엔터테인먼트,2014.4.17,프랑스,139,61444900,"8,564",애니메이션,전체관람가,2014
4700,음란한 하숙집 여주인,나카오 타카오,(주)영화사폴,2014.4.17,일본,1,379000,135,드라마,청소년관람불가,2014
4701,"의궤, 8일간의 축제 3D",최필곤,"케이비에스미디어(주),KBS 미디어",2014.4.17,한국,16,45334000,"7,956",다큐멘터리,전체관람가,2014
4702,이쁜 것들이 되어라,한승훈,CGV아트하우스,2014.4.17,한국,2,3583400,434,코미디,15세이상관람가,2014
4703,치한열차,쿠니자와 미노루,(주)엔케이컨텐츠,2014.4.17,일본,1,1080000,216,성인물(에로),청소년관람불가,2014
4704,카토 프로젝트,김정욱,주식회사 마운틴픽쳐스,2014.4.17,한국,3,2373000,860,다큐멘터리,전체관람가,2014
4705,플러쉬,캐서린 하드윅,(주)누리픽쳐스,2014.4.17,미국,1,8000,1,스릴러,청소년관람불가,2014
4706,한공주,이수진,CGV아트하우스,2014.4.17,한국,226,1780640800,"224,452",드라마,청소년관람불가,2014
4707,라보엠,리카르도 샤이,(주)쓰리캣프로덕션,2014.4.19,독일,4,20567000,811,공연,전체관람가,2014
4708,팔스타프,제임스 레바인,(주) 인스터 글로벌,2014.4.19,미국,2,12870500,567,공연,전체관람가,2014
4709,미나의 비밀 섹스,이토 이치헤이,(유)조이앤컨텐츠그룹,2014.4.23,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4710,불륜 온천 여행,칸바라 나오토,(주)도키엔터테인먼트,2014.4.23,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4711,어메이징 스파이더맨 2,마크 웹,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.4.23,미국,"1,312",34869056800,"4,168,350",액션,12세이상관람가,2014
4712,언싱커블,그레고 조단,㈜코리아스크린,2014.4.23,미국,1,344000,43,드라마,청소년관람불가,2014
4713,파가니니: 악마의 바이올리니스트,버나드 로즈,씨너스엔터테인먼트(주),2014.4.23,독일,100,270820700,"36,808",드라마,15세이상관람가,2014
4714,귀신을 보는 눈: 동안,"대니 팽,옥사이드 팽 천",스크린조이,2014.4.24,홍콩,5,1115000,352,공포(호러),15세이상관람가,2014
4715,넥스트 제네레이션 패트레이버,오시이 마모루,와이드 릴리즈(주),2014.4.24,일본,20,23674500,"3,488",액션,12세이상관람가,2014
4716,룸메이트,후루사와 다케시,(주)마인스 엔터테인먼트,2014.4.24,일본,15,3088000,466,스릴러,청소년관람불가,2014
4717,멜로,이로이,(주)박수엔터테인먼트,2014.4.24,한국,13,2664500,385,드라마,청소년관람불가,2014
4718,미션 13,다니엘 스탬,예지림엔터테인먼트,2014.4.24,미국,5,1260000,310,공포(호러),청소년관람불가,2014
4719,셔틀콕,이유빈,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2014.4.24,한국,31,32554855,"4,226",미스터리,15세이상관람가,2014
4720,아버지의 이메일,홍재희,㈜인디스토리,2014.4.24,한국,21,27261400,"3,982",다큐멘터리,12세이상관람가,2014
4721,온리 갓 포기브스,니콜라스 윈딩 레픈,주식회사 우리네트웍스,2014.4.24,미국,61,32584500,"4,389",액션,청소년관람불가,2014
4722,천재 강아지 미스터 피바디,롭 민코프,(주)씨제이이엔엠,2014.4.24,미국,533,2859791400,"385,552",애니메이션,전체관람가,2014
4723,추격,"아베 레비,실버 트리",(주)영화사 숲,2014.4.24,미국,1,50000,10,액션,15세이상관람가,2014
4724,탑캣: 뉴욕 대소동,알버토 마르,페어팍스인터내셔날(주),2014.4.24,멕시코,1,8000,1,애니메이션,전체관람가,2014
4725,패밀리 S다이어리,힐데 반 미에그헴,주식회사 풍경소리,2014.4.24,네덜란드,5,2992500,601,멜로/로맨스,청소년관람불가,2014
4726,피의 만우절,"로라 가르시아,마크 마르티네즈,카를로스 알론소",씨네그루(주)다우기술,2014.4.24,스페인,5,3750000,750,공포(호러),청소년관람불가,2014
4727,피의 복수,두기봉,페어팍스인터내셔날(주),2014.4.24,홍콩,1,8000,1,액션,청소년관람불가,2014
4728,10분,"이용승,박기용",롯데쇼핑㈜롯데엔터테인먼트,2014.4.24,한국,23,24284400,"3,158",드라마,12세이상관람가,2014
4729,F.O.E.: 에프.오.이.,키오니 왁스먼,라인트리엔터테인먼트,2014.4.24,미국,1,2000,1,액션,청소년관람불가,2014
4730,마지막 파티,스티븐 엘리엇,(주)수키픽쳐스,2014.4.29,호주,1,1211000,173,코미디,15세이상관람가,2014
4731,소녀의 음란한 밀회,카나자와 카츠지,(유)조이앤컨텐츠그룹,2014.4.29,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4732,그녀들의 사생활,칸바라 나오토,(주)도키엔터테인먼트,2014.4.30,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4733,방콕 킥복서,토드 벨란카,스크린조이,2014.4.30,미국,5,1170000,392,스릴러,청소년관람불가,2014
4734,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014.4.30,한국,"1,054",29893297890,"3,849,433",사극,15세이상관람가,2014
4735,토스카나 웨딩,요한 니젠허스,주식회사 풍경소리,2014.4.30,네덜란드,5,2992500,601,멜로/로맨스,청소년관람불가,2014
4736,표적,창,(주)씨제이이엔엠,2014.4.30,한국,665,22256359300,"2,841,788",액션,15세이상관람가,2014
4737,도둑,벤자민 하인스버그,(주)무브먼트 픽쳐스,2014.5.1,독일,1,200000,100,스릴러,15세이상관람가,2014
4738,드래곤 기사단,"앵겔 이즈퀴에르도,리카르도 라몬",(주)영화사 빅,2014.5.1,스페인,91,64333400,"9,138",애니메이션,전체관람가,2014
4739,리오 2,카를로스 살다나,이십세기폭스코리아(주),2014.5.1,미국,598,5631146900,"761,404",애니메이션,전체관람가,2014
4740,몬스터 왕국,에스벤 토프트 야콥슨,씨너스엔터테인먼트(주),2014.5.1,스웨덴,160,237248600,"34,888",애니메이션,전체관람가,2014
4741,백설공주의 마지막 키스,파블로 베르헤르,㈜영화사 백두대간,2014.5.1,스페인,10,21592400,"2,635",드라마,12세이상관람가,2014
4742,수호지: 명포배선,류신의,(주)케이알씨지,2014.5.1,중국,2,310000,200,액션,15세이상관람가,2014
4743,위크엔드 인 파리,로저 미첼,판씨네마(주),2014.5.1,영국,31,252649200,"32,070",드라마,15세이상관람가,2014
4744,잔다라 더 피날레,M.L. 반데바노프 데바쿤,(주)퍼스트런,2014.5.1,태국,20,11852000,"1,546",드라마,청소년관람불가,2014
4745,잡가소수,홍금보,스크린조이,2014.5.1,홍콩,1,70000,140,액션,15세이상관람가,2014
4746,킬엠올,레이먼드 후버,스크린조이,2014.5.1,미국,1,70000,140,액션,청소년관람불가,2014
4747,페이퍼맨,미셸 멀로니,(주)수키픽쳐스,2014.5.1,미국,2,900000,150,코미디,15세이상관람가,2014
4748,헬벤더스: 최후의 성전,J.T. 페티,(주)소나무픽쳐스,2014.5.1,미국,4,3792000,"1,801",공포(호러),청소년관람불가,2014
4749,007 북경특급 2,"주성치,곡덕소",(주)케이알씨지,2014.5.1,홍콩,1,70000,140,코미디,15세이상관람가,2014
4750,탈의실습격사건,칸바라 나오토,(주)도키엔터테인먼트,2014.5.7,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4751,폭유! 과격한 관계,칸바라 나오토,(주)도키엔터테인먼트,2014.5.7,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4752,닌자걸의 정사,야마가 타카유키,(유)조이앤컨텐츠그룹,2014.5.8,일본,1,5000,10,멜로/로맨스,청소년관람불가,2014
4753,둠스데이 2014,티보 타카스,스크린조이,2014.5.8,미국,5,1732000,445,SF,12세이상관람가,2014
4754,디태치먼트,토니 케이,(주)프레인글로벌,2014.5.8,미국,41,91678900,"12,031",드라마,청소년관람불가,2014
4755,라스트베가스,존 터틀타웁,(주)나이너스엔터테인먼트,2014.5.8,미국,349,1302220176,"169,138",코미디,15세이상관람가,2014
4756,수호지: 천하대인,류신의,(주)케이알씨지,2014.5.8,중국,5,1789000,452,액션,12세이상관람가,2014
4757,엠파이어 스테이트,디토 몬티엘,(주)박수엔터테인먼트,2014.5.8,미국,73,41951800,"6,102",액션,청소년관람불가,2014
4758,예고살인자,마이클 오블로위츠,(주)소나무픽쳐스,2014.5.8,미국,3,2575000,"1,112",공포(호러),청소년관람불가,2014
4759,피부색깔=꿀색,"융 헤닌,로랑 브왈로",(주)미루픽처스,2014.5.8,벨기에,48,42655900,"6,299",애니메이션,12세이상관람가,2014
4760,히트맨 NO.2 : 살인면허,페리 반달,스크린조이,2014.5.8,영국,21,8511000,"1,485",스릴러,청소년관람불가,2014
4761,감금의 제국,칸바라 이쿠토,(주)도키엔터테인먼트,2014.5.14,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4762,뱀파이어걸의 정사,혼다 칸스케,(유)조이앤컨텐츠그룹,2014.5.14,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4763,인간중독,김대우,(주)넥스트엔터테인먼트월드(NEW),2014.5.14,한국,682,11284787400,"1,441,964",멜로/로맨스,청소년관람불가,2014
4764,절정의 훔쳐보기,칸바라 나오토,(주)도키엔터테인먼트,2014.5.14,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4765,트랜센던스,월리 피스터,롯데쇼핑㈜롯데엔터테인먼트,2014.5.14,미국,417,5478201500,"696,412",SF,12세이상관람가,2014
4766,고질라,가렛 에드워즈,워너브러더스 코리아(주),2014.5.15,미국,610,5972847963,"709,734",액션,12세이상관람가,2014
4767,슈퍼스톰,제이슨 부케,스크린조이,2014.5.15,미국,21,7823000,"1,334",SF,15세이상관람가,2014
4768,스타로부터 스무 발자국,모건 네빌,(주)나이너스엔터테인먼트,2014.5.15,미국,21,55110400,"6,970",다큐멘터리,15세이상관람가,2014
4769,슬기로운 해법,태준식,(주)시네마달,2014.5.15,한국,18,28870600,"4,189",다큐멘터리,12세이상관람가,2014
4770,신촌좀비만화,"류승완,한지승,김태용",(주)씨제이이엔엠,2014.5.15,한국,46,51525700,"5,187",드라마,청소년관람불가,2014
4771,월 스트리트: 분노의 복수,우베 볼,페어팍스인터내셔날(주),2014.5.15,캐나다,1,180000,30,액션,청소년관람불가,2014
4772,진저 앤 로사,샐리 포터,그린나래미디어(주),2014.5.15,영국,17,19507500,"2,699",드라마,15세이상관람가,2014
4773,침입자들 : 로봇의 역습,패트릭 라이언 심즈,(주)미디어데이,2014.5.15,미국,20,24888000,"3,672",액션,12세이상관람가,2014
4774,캠퍼스 S 커플,송창용,(주)액티버스엔터테인먼트,2014.5.15,한국,1,4728000,677,멜로/로맨스,청소년관람불가,2014
4775,쾌걸 조로리의 공룡알을 지켜라,이와사키 토모코,얼리버드,2014.5.15,일본,47,32120500,"4,985",애니메이션,전체관람가,2014
4776,파라다이스,디아블로 코디,페어팍스인터내셔날(주),2014.5.15,미국,1,8000,1,코미디,15세이상관람가,2014
4777,하펫 꿈나라 모험,알렉스 콜스,페어팍스인터내셔날(주),2014.5.15,스페인,1,8000,1,애니메이션,전체관람가,2014
4778,편의점 여알바,칸바라 나오토,(주)도키엔터테인먼트,2014.5.21,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4779,강시: 리거모티스,주노 막,(주)팝엔터테인먼트,2014.5.22,홍콩,5,1635000,350,공포(호러),청소년관람불가,2014
4780,고스트 메신저 극장판,구봉회,에이원엔터테인먼트,2014.5.22,한국,81,184033000,"23,721",애니메이션,12세이상관람가,2014
4781,그녀,스파이크 존즈,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)",2014.5.22,미국,168,2861230000,"351,091",드라마,"청소년관람불가,15세이상관람가",2014
4782,극장판 헌터X헌터 : 더 라스트 미션,카와구치 케이이치로,와이드 릴리즈(주),2014.5.22,일본,14,9080900,"1,176",애니메이션,15세이상관람가,2014
4783,대지진 2014,매트 코드,스크린조이,2014.5.22,미국,1,10000,20,SF,12세이상관람가,2014
4784,더 바디,오리올 파울로,(주)싸이더스,2014.5.22,스페인,161,501242100,"66,733",스릴러,15세이상관람가,2014
4785,도희야,정주리,CGV아트하우스,2014.5.22,한국,310,830948100,"106,511",드라마,청소년관람불가,2014
4786,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아(주),2014.5.22,미국,"1,056",34654558766,"4,313,871",액션,12세이상관람가,2014
4787,온리 포 유,캣 코이로,페어팍스인터내셔날(주),2014.5.22,미국,1,8000,1,멜로/로맨스,15세이상관람가,2014
4788,욕망의 하녀,토모마츠 나오유키,(주)영화사폴,2014.5.22,일본,1,335000,127,드라마,청소년관람불가,2014
4789,유부녀워칭-무삭제,조우 사다오,(주)액티버스엔터테인먼트,2014.5.22,일본,1,50000,10,성인물(에로),청소년관람불가,2014
4790,일대일,김기덕,(주)김기덕 필름,2014.5.22,한국,53,78745100,"10,141",드라마,청소년관람불가,2014
4791,케이트 맥콜,카렌 몬크리프,와이드 릴리즈(주),2014.5.22,미국,24,23062500,"3,014",스릴러,15세이상관람가,2014
4792,탐엣더팜,자비에 돌란,(주)엣나인필름,2014.5.22,캐나다,26,52670000,"6,668",드라마,15세이상관람가,2014
4793,투 워리어스,홍금보,스크린조이,2014.5.22,홍콩,5,925000,252,액션,15세이상관람가,2014
4794,루살카,오토 솅크,(주) 인스터 글로벌,2014.5.24,미국,2,12406500,553,공연,전체관람가,2014
4795,에바-최종병기유이,미카미 노리히사,(주)도키엔터테인먼트,2014.5.28,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4796,은밀한 사육,카와노 고우시,(유)조이앤컨텐츠그룹,2014.5.28,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4797,조교부부교실,칸바라 나오토,(주)도키엔터테인먼트,2014.5.28,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4798,관능소녀 복수단,오스틴 칙,(주)마노엔터테인먼트,2014.5.29,미국,1,50000,10,스릴러,청소년관람불가,2014
4799,귀접,이현철,(주)휘엔터테인먼트,2014.5.29,한국,10,1639000,228,드라마,청소년관람불가,2014
4800,극장판 루팡 3세 VS 명탐정 코난,카메가키 하지메,(주)씨제이이엔엠,2014.5.29,일본,327,1585872205,"225,842",애니메이션,12세이상관람가,2014
4801,끝까지 간다,김성훈,(주)쇼박스,2014.5.29,한국,645,27006007900,"3,450,143",액션,15세이상관람가,2014
4802,나의 라임 오렌지 나무,마르코스 번스테인,(주)나이너스엔터테인먼트,2014.5.29,브라질,47,50677000,"7,454",드라마,12세이상관람가,2014
4803,로사,맹관표,와이드 릴리즈(주),2014.5.29,한국,7,11893000,"1,816",드라마,청소년관람불가,2014
4804,말레피센트,로버트 스트롬버그,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.5.29,미국,554,10776965900,"1,397,526",액션,12세이상관람가,2014
4805,몬스터즈,가렛 에드워즈,씨네그루(주)다우기술,2014.5.29,영국,20,6480000,"1,080",SF,15세이상관람가,2014
4806,무명인,김성수,롯데쇼핑㈜롯데엔터테인먼트,2014.5.29,한국,51,25063600,"3,199",미스터리,15세이상관람가,2014
4807,에너미,드니 빌뇌브,(주)영화사 진진,2014.5.29,캐나다,50,62206200,"7,967",미스터리,청소년관람불가,2014
4808,에브리 잭 해즈 어 질,제니퍼 드볼데르,데이지엔터테인먼트,2014.5.29,프랑스,1,100000,10,멜로/로맨스,15세이상관람가,2014
4809,오큘러스,마이크 플래너건,씨네그루(주)다우기술,2014.5.29,미국,336,2122466537,"279,488",미스터리,15세이상관람가,2014
4810,음란한 밀회-이웃집 유부녀,조우 사다오,(주)액티버스엔터테인먼트,2014.5.29,일본,1,50000,10,성인물(에로),청소년관람불가,2014
4811,인 데어 스킨,제레미 파워 레김발,씨네그루(주)다우기술,2014.5.29,캐나다,5,6800000,860,스릴러,청소년관람불가,2014
4812,젊은 엄마 2,노성수,골든타이드픽처스(주),2014.5.29,한국,1,8000,1,드라마,청소년관람불가,2014
4813,죽음의 천사,루시아 푸엔조,(주)컴퍼니엘,2014.5.29,아르헨티나,3,609000,96,스릴러,12세이상관람가,2014
4814,차가운 장미,필립 클로델,(주)티캐스트콘텐츠허브,2014.5.29,프랑스,22,90167000,"11,743",드라마,15세이상관람가,2014
4815,침묵의 목격자,비행,(주)미디어데이,2014.5.29,중국,2,3046000,414,스릴러,15세이상관람가,2014
4816,크로싱 오버,웨인 크라머,데이지엔터테인먼트,2014.5.29,미국,1,100000,10,드라마,청소년관람불가,2014
4817,킹 켈리,앤드류 닐,(주)마노엔터테인먼트,2014.5.29,미국,1,50000,10,코미디,청소년관람불가,2014
4818,퍼지,안티 조키넨,(주)마노엔터테인먼트,2014.5.29,핀란드,3,500000,79,드라마,청소년관람불가,2014
4819,SX 테잎,버나드 로즈,(주)팝엔터테인먼트,2014.5.29,미국,70,55420100,"7,229",공포(호러),청소년관람불가,2014
4820,마더스 데이,대런 린 보우즈만,데이지엔터테인먼트,2014.5.30,미국,1,100000,10,공포(호러),청소년관람불가,2014
4821,스튜던트 서비스,엠마누엘 베르코,데이지엔터테인먼트,2014.5.30,프랑스,1,100000,10,드라마,청소년관람불가,2014
4822,돈 카를로,피터 스테인,(주)쓰리캣프로덕션,2014.5.31,독일,5,14716000,581,공연,전체관람가,2014
4823,덤프걸의 섹스,후지와라 켄이치,(유)조이앤컨텐츠그룹,2014.6.3,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4824,하이힐,장진,롯데쇼핑㈜롯데엔터테인먼트,2014.6.3,한국,385,2735972500,"339,844",범죄,청소년관람불가,2014
4825,가구야공주 이야기,다카하타 이사오,롯데쇼핑㈜롯데엔터테인먼트,2014.6.4,일본,77,125582300,"16,439",애니메이션,전체관람가,2014
4826,논스톱 액시던트,프레드 올렌 레이,스크린조이,2014.6.4,미국,1,40000,10,액션,12세이상관람가,2014
4827,도쿄 엘리베이터걸,칸바라 이쿠토,(주)도키엔터테인먼트,2014.6.4,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4828,마이 블랭키,프란시스 닐슨,(주)마인스 엔터테인먼트,2014.6.4,스페인,111,219661100,"31,798",애니메이션,전체관람가,2014
4829,사케 불륜정사,칸바라 나오토,(주)도키엔터테인먼트,2014.6.4,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4830,스퀴시랜드,김태익,(주)인벤트스톤,2014.6.4,한국,55,38111300,"5,473",애니메이션,전체관람가,2014
4831,시베리안 에듀케이션,가브리엘 살바토레,찬란,2014.6.4,이탈리아,5,695000,92,드라마,15세이상관람가,2014
4832,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014.6.4,미국,801,38703942201,"4,697,142",액션,12세이상관람가,2014
4833,우는 남자,이정범,(주)씨제이이엔엠,2014.6.4,한국,508,4883740800,"599,050",액션,청소년관람불가,2014
4834,더 콩그레스,아리 폴만,(주)팝엔터테인먼트,2014.6.5,이스라엘,13,6249000,892,애니메이션,15세이상관람가,2014
4835,레디액션! 폭력영화,"최원경,김도경",㈜인디스토리,2014.6.5,한국,6,1143000,166,액션,청소년관람불가,2014
4836,레슨 인 러브,레이븐 그레고리,(주)토러스엔터테인먼트,2014.6.5,미국,1,50000,5,스릴러,청소년관람불가,2014
4837,리스본행 야간열차,빌 어거스트,(주)나이너스엔터테인먼트,2014.6.5,독일,57,565928536,"73,462",미스터리,15세이상관람가,2014
4838,무사 노보우: 최후의 결전,"이누도 잇신,히구치 신지",스크린조이,2014.6.5,일본,20,12901000,"2,003",전쟁,15세이상관람가,2014
4839,바라: 축복,키엔체 노르부,(유)영화사 화수분,2014.6.5,부탄,8,9240000,"1,346",드라마,15세이상관람가,2014
4840,스틸 라이프,우베르토 파솔리니,(주)드림웨스트픽쳐스,2014.6.5,영국,19,36057400,"4,967",드라마,12세이상관람가,2014
4841,엄마와 나 그리고 나의 커밍아웃,기욤 갈리엔,판씨네마(주),2014.6.5,프랑스,15,13247500,"1,701",코미디,15세이상관람가,2014
4842,금단의 과외실습,칸바라 나오토,(주)도키엔터테인먼트,2014.6.11,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4843,성인돌의 향기,칸바라 나오토,(주)도키엔터테인먼트,2014.6.11,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4844,에리카의 애욕,후지와라 켄이치,(유)조이앤컨텐츠그룹,2014.6.11,일본,1,40000,10,멜로/로맨스,청소년관람불가,2014
4845,톰행크스의 일렉트릭시티,톰 행크스,(주)도키엔터테인먼트,2014.6.11,미국,1,270000,54,애니메이션,15세이상관람가,2014
4846,황제를 위하여,박상준,유나이티드픽처스(주),2014.6.11,한국,423,4751881771,"592,041",액션,청소년관람불가,2014
4847,2014 지구 최후의 날,테리 커닝햄,(주)케이알씨지,2014.6.11,캐나다,1,40000,10,SF,12세이상관람가,2014
4848,경주,장률,(주)인벤트스톤,2014.6.12,한국,318,468260500,"62,754",드라마,15세이상관람가,2014
4849,그댄 나의 뱀파이어,이원회,주식회사 마운틴픽쳐스,2014.6.12,한국,13,22393000,"3,048",드라마,15세이상관람가,2014
4850,그레이트 뷰티,파올로 소렌티노,(주)영화사 진진,2014.6.12,이탈리아,51,326252373,"42,274",드라마,청소년관람불가,2014
4851,미국인친구,성지혜,골든타이드픽처스(주),2014.6.12,한국,5,3362000,569,드라마,청소년관람불가,2014
4852,밀리언 웨이즈,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),2014.6.12,미국,194,134249300,"17,373",코미디,청소년관람불가,2014
4853,베스트 오퍼,쥬세페 토르나토레,(주)박수엔터테인먼트,2014.6.12,이탈리아,175,355182700,"46,282",미스터리,15세이상관람가,2014
4854,사랑은 소설처럼,제시카 골드버그,(주)팝엔터테인먼트,2014.6.12,미국,35,51129800,"6,513",멜로/로맨스,15세이상관람가,2014
4855,스톤,조세래,씨너스엔터테인먼트(주),2014.6.12,한국,148,118376400,"17,631",액션,15세이상관람가,2014
4856,안전은 보장할 수 없음,콜린 트레보로우,(주)마노엔터테인먼트,2014.6.12,미국,2,281000,42,멜로/로맨스,15세이상관람가,2014
4857,음모자들,옥사이드 팽 천,(유)조이앤컨텐츠그룹,2014.6.12,홍콩,5,6934000,"1,385",액션,15세이상관람가,2014
4858,잃어버린 세계-지구 속으로,폴 질러,스크린조이,2014.6.12,캐나다,1,40000,10,액션,15세이상관람가,2014
4859,천국에 다녀온 소년,랜달 월러스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.6.12,미국,25,300249500,"41,957",드라마,전체관람가,2014
4860,캠걸,미르카 비올라,(주)액티버스엔터테인먼트,2014.6.12,이탈리아,1,12000,2,드라마,청소년관람불가,2014
4861,호비와 쿠우의 어드벤처 : 고래의 노래,히라바야시 이사무,"(주)머스트씨무비,(주)머스트씨무비릴리징컴퍼니",2014.6.12,일본,54,113444000,"17,018",애니메이션,전체관람가,2014
4862,거유 치한극장,칸바라 이쿠토,(주)도키엔터테인먼트,2014.6.18,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4863,그레이스 오브 모나코,올리비에 다한,(주)쇼박스,2014.6.18,프랑스,358,1752838200,"237,147",드라마,12세이상관람가,2014
4864,님포매니악 볼륨1,라스 폰 트리에,CGV아트하우스,2014.6.18,덴마크,237,479242383,"60,265",드라마,청소년관람불가,2014
4865,마리의 카타르시스,칸바라 나오토,(주)도키엔터테인먼트,2014.6.18,일본,1,270000,54,성인물(에로),청소년관람불가,2014
4866,멀린 : 마법전사와 용의 기사단,마크 앳킨스,(주)도키엔터테인먼트,2014.6.18,미국,1,270000,54,판타지,12세이상관람가,2014
4867,미녀와 야수,크리스토프 갱스,(주)넥스트엔터테인먼트월드(NEW),2014.6.18,프랑스,387,2385847300,"315,348",판타지,전체관람가,2014
4868,아이스 투모로우,제이슨 부케,스크린조이,2014.6.18,캐나다,1,40000,10,SF,12세이상관람가,2014
4869,창문 넘어 도망친 100세 노인,플렉스 할그렌,(주)영화사 빅,2014.6.18,스웨덴,300,1824795453,"240,990",어드벤처,15세이상관람가,2014
