,영화명,감독,배급사,개봉일,국적,스크린수,매출액,관객수,장르,등급,연도
47,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,강석범,(주)시네마서비스,2004.3.12,한국,0,0,"830,000",코미디,12세관람가,2004
48,헌티드,윌리엄 프리드킨,(주)튜브엔터테인먼트,2004.3.12,미국,0,0,"81,973",액션,18세관람가,2004
49,고독이 몸부림칠 때,이수인,"(주)쇼박스,영화사풍년상회(주)",2004.3.19,한국,0,0,"34,349",코미디,15세관람가,2004
50,내 생애 최고의 데이트,로버트 루케틱,CJ ENM,2004.3.19,미국,0,0,"59,652",멜로/로맨스,12세관람가,2004
51,모나리자 스마일,마이크 뉴웰,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.3.19,미국,0,0,"120,995",드라마,12세관람가,2004
52,송환,김동원,㈜인디스토리,2004.3.19,한국,0,0,"23,496",다큐멘터리,12세관람가,2004
53,씬,브라이언 헬겔랜드,이십세기폭스필름코퍼레이션,2004.3.19,미국,0,0,590,공포(호러),15세관람가,2004
54,히달고,조 존스톤,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.3.19,미국,0,0,"121,578",액션,12세관람가,2004
55,못말리는 이혼녀,레지날드 허들린,코리아픽쳐스(주),2004.3.25,독일,0,0,163,코미디,15세관람가,2004
56,맹부삼천지교,김지영,CJ ENM,2004.3.26,한국,0,0,"860,044",코미디,15세관람가,2004
57,스나이퍼 2,크레이그 R. 백슬리,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.3.26,미국,0,0,64,액션,12세관람가,2004
58,아메리칸 러브홀릭,마이클 데이비스,에이펙스엔터테인먼트,2004.3.26,미국,0,0,"9,321",멜로/로맨스,18세관람가,2004
59,아홉살 인생,윤인호,(주)시네마서비스,2004.3.26,한국,0,0,"352,182",드라마,전체관람가,2004
60,허니,빌 우드러프,UIP코리아,2004.3.26,미국,0,0,"100,000",드라마,15세관람가,2004
61,마지막 늑대,구자홍,"(주)쇼박스,영화사풍년상회(주)",2004.4.1,한국,0,0,"158,727",코미디,15세관람가,2004
62,고티카,마티유 카소비츠,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.2,미국,0,0,"90,062",공포(호러),15세관람가,2004
63,어린 신부,김호준,코리아픽쳐스(주),2004.4.2,한국,0,0,"3,149,500",코미디,12세관람가,2004
64,패션 오브 크라이스트,멜 깁슨,"(주)이수C&E,이십세기폭스필름코퍼레이션",2004.4.2,미국,0,0,"2,523,700",드라마,15세관람가,2004
65,폴리와 함께,존 햄버그,UIP코리아,2004.4.2,미국,0,0,"170,000",멜로/로맨스,15세관람가,2004
66,프리키 프라이데이,마크 S. 워터스,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.2,미국,0,0,"9,815",코미디,전체관람가,2004
67,바람의 전설,박정우,(주)시네마서비스,2004.4.9,한국,0,0,"266,000",드라마,15세관람가,2004
68,배틀로얄 2 - 레퀴엠,"후카사쿠 킨지,후카사쿠 켄타",(주)동아수출공사,2004.4.9,일본,0,0,"20,488",액션,15세관람가,2004
69,연애사진,츠츠미 유키히코,(주)스폰지이엔티,2004.4.9,일본,0,0,"12,981",드라마,15세관람가,2004
70,저지 걸,케빈 스미스,CJ ENM,2004.4.9,미국,0,0,"184,049",멜로/로맨스,12세관람가,2004
71,판타스틱 플래닛,르네 랄루,㈜영화사 백두대간,2004.4.9,프랑스,0,0,"10,306",애니메이션,12세관람가,2004
72,범죄의 재구성,최동훈,(주)쇼박스,2004.4.15,한국,0,0,"2,129,358",스릴러,18세관람가,2004
73,첫키스만 50번째,피터 시걸,"팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",2004.4.15,미국,0,0,"293,376",코미디,"15세관람가,15세이상관람가",2004
74,테이킹 라이브즈,D.J. 카루소,워너브러더스 코리아(주),2004.4.15,미국,0,0,"135,470",스릴러,18세관람가,2004
75,헌티드 맨션,롭 민코프,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.15,미국,0,0,"28,611",코미디,전체관람가,2004
76,네드 켈리,그레고 조단,UIP코리아,2004.4.16,호주,0,0,"3,000",드라마,15세관람가,2004
77,강령,구로사와 기요시,(주)미로비젼,2004.4.23,일본,0,0,429,공포(호러),15세관람가,2004
78,고하토,오시마 나기사,(주)오시네마,2004.4.23,일본,0,0,"8,789",드라마,15세관람가,2004
79,더티 댄싱 - 하바나 나이트,가이 퍼랜드,아우라엔터테인먼트,2004.4.23,미국,0,0,"58,385",멜로/로맨스,15세관람가,2004
80,라이어,김경형,CJ ENM,2004.4.23,한국,0,0,"220,531",코미디,18세관람가,2004
81,밝은 미래,구로사와 기요시,(주)미로비젼,2004.4.23,일본,0,0,"1,228",드라마,12세관람가,2004
82,블라인드 호라이즌,마이클 하우스만,(주)그림상자,2004.4.23,미국,0,0,105,스릴러,15세관람가,2004
83,오토기리소우,시모야마 텐,무비즈엔터테인먼트㈜,2004.4.23,일본,0,0,"20,199",공포(호러),15세관람가,2004
84,콰이어트 아메리칸,필립 노이스,(주)씨네월드,2004.4.23,미국,0,0,113,전쟁,18세관람가,2004
85,투스카니의 태양,오드리 웰스,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.23,미국,0,0,103,코미디,15세관람가,2004
86,바디 스내치,프랑소와 한스,(주)그림상자,2004.4.30,프랑스,0,0,209,스릴러,18세관람가,2004
87,붉은 다리 아래 따뜻한 물,이마무라 쇼헤이,(주)동숭아트센터,2004.4.30,일본,0,0,"3,514",드라마,18세관람가,2004
88,스쿠비-두2 : 몬스터 대소동,라자 고스넬,워너브러더스 코리아(주),2004.4.30,미국,0,0,"65,610",코미디,전체관람가,2004
89,스타스키와 허치,토드 필립스,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.4.30,미국,0,0,"35,908",액션,12세관람가,2004
90,아라한 장풍대작전,류승완,(주)시네마서비스,2004.4.30,한국,0,0,"2,050,000",액션,12세관람가,2004
91,엄마는 여자를 좋아해,"다니엘라 페허만,이네스 파리스",판씨네마(주),2004.4.30,스페인,0,0,"7,411",코미디,15세관람가,2004
92,인 더 컷,제인 캠피온,CJ ENM,2004.4.30,미국,0,0,"66,524",스릴러,18세관람가,2004
93,천공의 성 라퓨타,미야자키 하야오,대원미디어(주),2004.4.30,일본,0,0,"49,052",애니메이션,전체관람가,2004
94,여자는 남자의 미래다,홍상수,CJ ENM,2004.5.5,한국,0,0,"284,872",드라마,18세관람가,2004
95,효자동 이발사,임찬상,(주)쇼박스,2004.5.5,한국,0,0,"1,972,377",드라마,15세관람가,2004
96,막달레나 시스터즈,피터 뮬란,(주)인피니티엔터테인먼트,2004.5.7,잉글랜드,0,0,532,드라마,18세관람가,2004
97,더 블루스-소울 오브 맨,빔 벤더스,(주)스폰지이엔티,2004.5.14,독일,0,0,"6,834",드라마,전체관람가,2004
98,새벽의 저주,잭 스나이더,UIP코리아,2004.5.14,미국,0,0,"300,000",공포(호러),18세관람가,2004
99,킬 빌2,쿠엔틴 타란티노,CJ ENM,2004.5.14,미국,0,0,"274,469",액션,18세관람가,2004
100,콜드 크릭,마이크 피기스,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.5.21,미국,0,0,104,스릴러,15세관람가,2004
101,클레멘타인,김두영,(주)엔터모드,2004.5.21,한국,0,0,"67,000",액션,15세관람가,2004
102,트로이,볼프강 페터젠,워너브러더스 코리아(주),2004.5.21,미국,0,0,"3,851,000",사극,15세관람가,2004
103,하류인생,임권택,(주)시네마서비스,2004.5.21,한국,0,0,"550,000",액션,15세관람가,2004
104,디 아이2,"대니 팽,옥사이드 팽 천",쇼이스트(주),2004.5.26,홍콩,0,0,"335,000",공포(호러),15세관람가,2004
105,옹박 - 무에타이의 후예,프라챠 핀카엡,(주)쇼박스,2004.5.26,태국,0,0,"400,958",액션,15세관람가,2004
106,퍼펙트 블루,곤 사토시,(주)튜브엔터테인먼트,2004.5.26,일본,0,0,634,스릴러,18세관람가,2004
107,내 여자친구를 소개합니다,곽재용,"CJ ENM,아이러브시네마",2004.6.3,한국,0,0,"2,199,359",멜로/로맨스,15세관람가,2004
108,투모로우,롤랜드 에머리히,이십세기폭스필름코퍼레이션,2004.6.3,미국,0,0,"3,006,400",SF,12세관람가,2004
109,레이디킬러,"조엘 코엔,에단 코엔",한국소니픽쳐스릴리징브에나비스타영화㈜,2004.6.4,미국,0,0,"38,883",코미디,15세관람가,2004
110,완전한 사육 2 - 사랑의 40일,니시야마 요이치,(주)창엔터테인먼트,2004.6.4,일본,0,0,161,범죄,18세관람가,2004
111,데스티네이션 2,데이비드 R. 엘리스,UIP코리아,2004.6.11,미국,0,0,"137,000",공포(호러),18세관람가,2004
112,메트레스 연인,카시마 츠토무,미디어소프트,2004.6.11,일본,0,0,164,드라마,18세관람가,2004
113,페이스,유상곤,(주)시네마서비스,2004.6.11,한국,0,0,"474,000",공포(호러),15세관람가,2004
114,령,"김태경,이인규",(주)쇼박스,2004.6.17,한국,0,0,"1,108,769",공포(호러),12세관람가,2004
