■ 개봉일람_연도별,,,,,,,,,,,,,,,,,
- 조회일: 2021-11-05,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간 : 2004~2020???국적 : 전체???영화명 : 전체???개봉일 : 2004-01-01~2020-12-31???영화구분 : 전체???영화유형 : 개봉영화??? ],,,,,,,,,,,,,,,,,
<,,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1169,브라보 마이 라이프,박영훈,,,(주)쇼박스,2007-09-06,개봉영화,장편,한국,0,0,"73,034",0,"19,906",드라마,12세이상관람가,일반영화
1170,사쿠란,니나가와 미카,,(주)케이앤엔터테인먼트,프리비젼엔터테인먼트,2007-09-06,개봉영화,장편,일본,0,0,"7,634",0,"5,792",드라마,청소년관람불가,일반영화
1171,입술은 안돼요,알랭 레네,,(주)이모션픽처스,(주)이모션픽처스,2007-09-06,개봉영화,장편,프랑스,2,0,"1,854",0,"1,854",멜로/로맨스,15세이상관람가,독립/예술영화
1172,척 앤 래리,데니스 듀간,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-09-06,개봉영화,장편,미국,0,0,"66,753",0,"30,615",코미디,15세이상관람가,일반영화
1173,푸치니 초급과정,마리아 매겐티,,데이지엔터테인먼트,㈜메가박스,2007-09-06,개봉영화,장편,미국,2,0,"2,841",0,"2,841",멜로/로맨스,15세이상관람가,일반영화
1174,방황의 날들,김소영,위드시네마,,위드시네마,2007-09-07,개봉영화,장편,한국,0,0,"1,285",0,"1,148",드라마,15세이상관람가,독립/예술영화
1175,권순분여사 납치사건,김상진,"(주)어나더썬데이,㈜감독의집",,(주)시네마서비스,2007-09-12,개봉영화,장편,한국,0,0,"1,619,190",0,"437,939",코미디,15세이상관람가,일반영화
1176,본 얼티메이텀,폴 그린그래스,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-09-12,개봉영화,장편,미국,0,0,"2,052,800",0,"762,025",액션,12세이상관람가,일반영화
1177,어머니는 죽지 않는다,하명중,HMJ필름,,롯데쇼핑㈜롯데엔터테인먼트,2007-09-12,개봉영화,장편,한국,0,0,"116,993",0,"49,664",가족,12세이상관람가,일반영화
1178,두 얼굴의 여친,이석훈,(주)화인웍스,,(주)쇼박스,2007-09-13,개봉영화,장편,한국,0,0,"762,112",0,"231,913",멜로/로맨스,15세이상관람가,일반영화
1179,여름 궁전,로우 예,,(주)유레카픽쳐스,(주)유레카픽쳐스,2007-09-13,개봉영화,장편,중국,0,0,"5,561",0,"5,122",드라마,청소년관람불가,독립/예술영화
1180,제9중대,표도르 본다르추크,,스폰지,스폰지,2007-09-13,개봉영화,장편,러시아,0,0,222,0,171,액션,15세이상관람가,독립/예술영화
1181,즐거운 인생,이준익,(주)영화사아침,,CJ ENM,2007-09-13,개봉영화,장편,한국,0,0,"1,263,835",0,"442,665",드라마,전체관람가,일반영화
1182,호랑이와 눈,로베르토 베니니,,(주)영화사 진진,(주)영화사 진진,2007-09-13,개봉영화,장편,이탈리아,0,0,"5,358",0,"5,231",코미디,12세이상관람가,독립/예술영화
1183,사랑에 눈뜨다,아키 요코,,미디어소프트,미디어소프트,2007-09-14,개봉영화,장편,일본,0,0,144,0,117,드라마,청소년관람불가,일반영화
1184,사랑,곽경택,"(주)진인사필름,(주)태원엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2007-09-19,개봉영화,장편,한국,0,0,"2,123,815",0,"547,926",멜로/로맨스,15세이상관람가,일반영화
1185,상사부일체,심승보,(주)두손시네마,,이십세기폭스코리아(주),2007-09-19,개봉영화,장편,한국,0,0,"947,510",0,"219,940",코미디,15세이상관람가,일반영화
1186,무시시,오토모 가츠히로,,스폰지,스폰지,2007-09-20,개봉영화,장편,일본,0,0,"1,852",0,"1,755",판타지,12세이상관람가,일반영화
1187,숏!숏!숏!,"김종관,손원평,함경록",(재)전주국제영화제조직위원회,,㈜인디스토리,2007-09-20,개봉영화,옴니버스,한국,0,0,140,0,104,기타,12세이상관람가,일반영화
1188,원스,존 카니,,"(주)제이앤씨미디어그룹,(주)영화사 진진","(주)제이앤씨미디어그룹,(주)영화사 진진",2007-09-20,개봉영화,장편,아일랜드,10,"45,419,094","232,459","44,139,500","180,826",드라마,전체관람가,독립/예술영화
1189,인베이젼,올리버 히르비겔,"빌리지 로드쇼 픽쳐스,버티고 엔터테인먼트",워너브러더스 코리아(주),워너브러더스 코리아(주),2007-09-20,개봉영화,장편,미국,0,0,"520,800",0,"211,386",SF,15세이상관람가,일반영화
1190,미남이시네요,이사벨 머걸트,,(주)이모션픽처스,(주)이모션픽처스,2007-09-21,개봉영화,장편,프랑스,1,0,778,0,778,코미디,12세이상관람가,독립/예술영화
1191,올 더 킹즈 맨,스티븐 자일리언,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-09-21,개봉영화,장편,미국,2,0,451,0,451,드라마,15세이상관람가,일반영화
1192,미...마이셀프,퐁파트 와치라번종,,(주)케이앤엔터테인먼트,프리비젼엔터테인먼트,2007-09-27,개봉영화,장편,태국,1,0,387,0,387,드라마,15세이상관람가,독립/예술영화
1193,베이컨시,님로드 안탈,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-09-28,개봉영화,장편,미국,1,0,500,0,500,공포(호러),청소년관람불가,일반영화
1194,내니 다이어리,"로버트 풀치니,샤리 스프링어 버먼",,(주)유레카픽쳐스,(주)프라임엔터테인먼트,2007-10-03,개봉영화,장편,미국,0,0,"477,513",0,"205,403",코미디,12세이상관람가,일반영화
1195,딕시칙스 - 셧업 앤 싱,"바바라 코플,세실리아 펙",,스폰지,스폰지,2007-10-03,개봉영화,장편,미국,0,N/A,654,0,521,다큐멘터리,15세이상관람가,독립/예술영화
1196,러시 아워 3,브렛 래트너,뉴라인 시네마,인터비스앤파트너스(주),CJ ENM,2007-10-03,개봉영화,장편,미국,0,0,"783,668",0,"198,820",범죄,15세이상관람가,일반영화
1197,"마이 걸, 마이 엔젤",알렉시스 듀란드 브라울트,,라인트리엔터테인먼트,라인트리엔터테인먼트,2007-10-03,개봉영화,장편,캐나다,2,0,102,0,102,범죄,청소년관람불가,일반영화
1198,스테이지 뷰티,리차드 이어,,데이지엔터테인먼트,㈜메가박스,2007-10-03,개봉영화,장편,영국,0,0,"20,976",0,"11,252",드라마,청소년관람불가,일반영화
1199,아드레날린24,"마크 네빌딘,브라이언 테일러",,데이지엔터테인먼트,"영화사청어람(주),(주)엠엔에프씨",2007-10-03,개봉영화,장편,미국,0,0,"99,914",0,"31,130",액션,청소년관람불가,일반영화
1200,카핑 베토벤,아그네츠카 홀란드,,(주)성원아이컴,(주)미로비젼,2007-10-03,개봉영화,장편,독일,0,0,"268,154",0,"117,664",드라마,12세이상관람가,독립/예술영화
1201,페이지 터너,드니 데르쿠르,,씨앤에스엔터테인먼트,프리비젼엔터테인먼트,2007-10-03,개봉영화,장편,프랑스,0,0,"1,880",0,"1,523",드라마,15세이상관람가,독립/예술영화
1202,행복,허진호,"라이필름,영화사 집",,(주)쇼박스,2007-10-03,개봉영화,장편,한국,0,0,"1,239,789",0,"410,007",드라마,15세이상관람가,일반영화
1203,거침없이 쏴라! 슛뎀업,마이클 데이비스,뉴라인 시네마,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2007-10-11,개봉영화,장편,미국,0,0,"102,152",0,"35,977",액션,청소년관람불가,일반영화
1204,박치기 LOVE & PEACE,이즈츠 카즈유키,(주)씨네콰논,(주)쇼박스,(주)쇼박스,2007-10-11,개봉영화,장편,일본,0,0,"1,854",0,"1,510",드라마,15세이상관람가,일반영화
1205,브레이브 원,닐 조단,빌리지 로드쇼 프로덕션,워너브러더스 코리아(주),워너브러더스 코리아(주),2007-10-11,개봉영화,장편,미국,0,0,"153,400",0,"71,100",드라마,15세이상관람가,일반영화
1206,비커밍 제인,줄리언 재롤드,콜럼비아 픽쳐스 코포레이션,"찬란,(유)마스엔터테인먼트코리아","(주)팝엔터테인먼트,CJ ENM",2007-10-11,개봉영화,장편,미국,0,0,"213,487",0,"93,530",드라마,12세이상관람가,일반영화
1207,용이간다,미이케 다카시,,CJ ENM,CJ ENM,2007-10-11,개봉영화,장편,일본,0,0,833,0,447,액션,15세이상관람가,일반영화
1208,궁녀,김미정,(주)영화사아침,,(주)시네마서비스,2007-10-18,개봉영화,장편,한국,0,0,"1,438,531",0,"409,476",미스터리,청소년관람불가,일반영화
1209,그림자,"이정국,김민숙","(주)디씨지플러스,롬버스 미디어",,(주)스폰지이엔티,2007-10-18,개봉영화,장편,한국,0,0,224,0,68,공포(호러),15세이상관람가,일반영화
1210,레지던트 이블 3 - 인류의 멸망,러셀 멀케이,,(주)태원엔터테인먼트,㈜스튜디오이쩜영,2007-10-18,개봉영화,장편,프랑스,0,0,"557,851",0,"177,122",액션,청소년관람불가,일반영화
1211,바르게 살자,라희찬,필름있수다,,CJ ENM,2007-10-18,개봉영화,장편,한국,0,0,"2,190,250",0,"672,381",코미디,15세이상관람가,일반영화
1212,어깨 너머의 연인,이언희,"어뮤즈,(주)싸이더스",,(주)쇼박스,2007-10-18,개봉영화,장편,한국,0,0,"301,153",0,"105,717",드라마,청소년관람불가,일반영화
1213,어사일럼,데이빗 맥킨지,,시네마밸리,프리비젼엔터테인먼트,2007-10-18,개봉영화,장편,영국,0,0,246,0,118,멜로/로맨스,청소년관람불가,일반영화
1214,올 어바웃 러브,토마스 빈터베르그,,스폰지,스폰지,2007-10-18,개봉영화,장편,덴마크,0,0,410,0,305,드라마,15세이상관람가,일반영화
1215,왕립우주군-오네아미스의 날개,야마가 히로유키,,(주)이모션픽처스,(주)이모션픽처스,2007-10-18,개봉영화,장편,일본,0,0,706,0,654,애니메이션,15세이상관람가,독립/예술영화
1216,사모안 웨딩,크리스 그래험,,(유)마스엔터테인먼트코리아,(유)마스엔터테인먼트코리아,2007-10-19,개봉영화,장편,뉴질랜드,1,0,172,0,172,코미디,15세이상관람가,독립/예술영화
1217,도로로,시오타 아키히코,,아마가스필름,이십세기폭스필름코퍼레이션,2007-10-25,개봉영화,장편,일본,0,0,"8,030",0,"2,410",액션,15세이상관람가,일반영화
1218,뒤로가는 연인들,로저 애버리,,㈜영화사 백두대간,㈜영화사 백두대간,2007-10-25,개봉영화,장편,미국,0,0,"1,765",0,"1,765",멜로/로맨스,청소년관람불가,일반영화
1219,엠,이명세,프로덕션 엠,,"(주)엠엔에프씨,영화사청어람(주)",2007-10-25,개봉영화,장편,한국,0,0,"448,350",0,"159,396",미스터리,15세이상관람가,독립/예술영화
1220,오다기리 죠의 도쿄타워,마츠오카 조지,,"(주)엔케이컨텐츠,스폰지","(주)엔케이컨텐츠,스폰지",2007-10-25,개봉영화,장편,일본,0,0,"62,405",0,"30,461",드라마,12세이상관람가,일반영화
1221,저수지에서 건진 치타,양해훈,릴레이필름,,"㈜인디스토리,아트플러스시네마네트워크",2007-10-25,개봉영화,장편,한국,0,0,"2,551",0,"1,949",드라마,청소년관람불가,독립/예술영화
1222,펀치레이디,강효진,"(주)프라임엔터테인먼트,(주)프리미어엔터테인먼트",,(주)프라임엔터테인먼트,2007-10-25,개봉영화,장편,한국,0,0,"38,254",0,"13,502",드라마,15세이상관람가,일반영화
1223,포 미니츠,크리스 크라우스,,㈜세종커뮤니케이션스,㈜세종커뮤니케이션스,2007-10-25,개봉영화,장편,독일,0,0,"17,088",0,"16,103",드라마,12세이상관람가,독립/예술영화
1224,다운 인 더 밸리,데이빗 제이콥슨,,미디어소프트,프리비젼엔터테인먼트,2007-11-01,개봉영화,장편,미국,0,0,317,0,224,드라마,15세이상관람가,일반영화
1225,블랙 달리아,브라이언 드 팔마,,"(주)CM엔터테인먼트,(주)토마스엔터프라이즈",㈜스튜디오이쩜영,2007-11-01,개봉영화,장편,독일,0,0,"136,451",0,"58,010",드라마,청소년관람불가,일반영화
1226,식객,전윤수,쇼이스트(주),,CJ ENM,2007-11-01,개봉영화,장편,한국,0,0,"3,038,868",0,"913,989",드라마,12세이상관람가,일반영화
1227,첫눈,한상희,"가도가와픽쳐스,(주)다인필름",,CJ ENM,2007-11-01,개봉영화,장편,한국,0,0,"19,734",0,"9,283",드라마,12세이상관람가,일반영화
1228,킹덤,피터 버그,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-11-01,개봉영화,장편,미국,0,0,"258,419",0,"84,760",액션,청소년관람불가,일반영화
1229,투야의 결혼,왕 취엔안,,스폰지,스폰지,2007-11-01,개봉영화,장편,중국,0,0,805,0,509,드라마,12세이상관람가,독립/예술영화
1230,히어로,스즈키 마사유키,,거원시네마(주),롯데쇼핑㈜롯데엔터테인먼트,2007-11-01,개봉영화,장편,일본,0,0,"249,463",0,"100,199",드라마,12세이상관람가,일반영화
1231,파프리카,곤 사토시,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-11-02,개봉영화,장편,일본,1,0,"1,070",0,"1,070",SF,15세이상관람가,일반영화
1232,경계,장률,(주)지이십일엠,,(주)스폰지이엔티,2007-11-08,개봉영화,장편,한국,0,0,973,0,775,드라마,청소년관람불가,독립/예술영화
1233,더 버터플라이,마이크 베이커,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2007-11-08,개봉영화,장편,영국,0,0,"190,110",0,"61,537",스릴러,15세이상관람가,일반영화
1234,데드 걸,카렌 몬크리프,,쌈지아이비젼영상사업단,씨제이 씨지브이(CJ CGV)(주),2007-11-08,개봉영화,장편,미국,3,0,"1,608",0,"1,608",드라마,청소년관람불가,일반영화
1235,데이 워치,티무르 베크맘베토브,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-11-08,개봉영화,장편,러시아,0,0,667,0,353,액션,15세이상관람가,일반영화
1236,로스트 라이온즈,로버트 레드포드,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-11-08,개봉영화,장편,미국,0,0,"159,910",0,"58,474",드라마,15세이상관람가,일반영화
1237,명랑한 갱이 지구를 움직인다,마에다 테츠,,씨네가,씨네가,2007-11-08,개봉영화,장편,일본,0,0,"1,331",0,660,범죄,12세이상관람가,일반영화
1238,벡실,소리 후미히코,,(주)프리미어엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),2007-11-08,개봉영화,장편,일본,6,0,"2,861",0,"2,861",SF,12세이상관람가,일반영화
1239,"색, 계",이안,,"(주)엔케이컨텐츠,(주)제이앤씨미디어그룹,(유)마스엔터테인먼트코리아","(주)제이앤씨미디어그룹,CJ ENM",2007-11-08,개봉영화,장편,미국,0,0,"1,866,900",0,"731,668",드라마,청소년관람불가,독립/예술영화
1240,세브란스,크리스토퍼 스미스,,판씨네마(주),(주)미로비젼,2007-11-08,개봉영화,장편,영국,0,0,"20,380",0,"15,266",공포(호러),청소년관람불가,일반영화
1241,판타스틱 자살소동,"박수영,조창호,김성호","㈜인디스토리,엠비씨 드라마넷",,㈜인디스토리,2007-11-08,개봉영화,옴니버스,한국,0,0,"1,702",0,"1,134",드라마,15세이상관람가,독립/예술영화
1242,마을금고 연쇄습격사건,박상준,"필름큐엔터테인먼트,(주)노비스엔터테인먼트",,(주)쇼박스,2007-11-14,개봉영화,장편,한국,0,0,"123,770",0,"25,980",코미디,15세이상관람가,일반영화
1243,베오울프,로버트 저메키스,"이미지무버,워너 브러더스 픽쳐스,파라마운트 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아(주),2007-11-14,개봉영화,장편,미국,0,0,"890,100",0,"341,300",애니메이션,15세이상관람가,일반영화
1244,세븐 데이즈,원신연,(주)영화사윤앤준,,(주)프라임엔터테인먼트,2007-11-14,개봉영화,장편,한국,297,0,"2,120,741","38,146,000","713,941",스릴러,청소년관람불가,일반영화
1245,스카우트,김현석,㈜두루미필름,,CJ ENM,2007-11-14,개봉영화,장편,한국,0,0,"315,187",0,"98,138",드라마,12세이상관람가,일반영화
1246,검은 땅의 소녀와,전수일,(주)동녘필름,,(주)스폰지이엔티,2007-11-15,개봉영화,장편,한국,0,0,786,0,618,가족,전체관람가,독립/예술영화
1247,색화동,공자관,"클릭영화사(주),청년필름(주)",,(주)프리머스시네마,2007-11-15,개봉영화,장편,한국,0,0,498,0,400,코미디,청소년관람불가,일반영화
1248,춤추는 나의 베아트리체,안토니오 반데라스,,CNS엔터테인먼트,CNS엔터테인먼트,2007-11-18,개봉영화,장편,영국,2,0,105,0,105,드라마,청소년관람불가,독립/예술영화
1249,아파트 1303호,오이카와 아타루,,유니코리아문예투자(주),유니코리아문예투자(주),2007-11-19,개봉영화,장편,일본,1,0,200,0,200,공포(호러),15세이상관람가,일반영화
1250,라 비 앙 로즈,올리비에 다한,,(주)유레카픽쳐스,"(주)블룸즈베리리소시스리미티드,(주)프라임엔터테인먼트",2007-11-21,개봉영화,장편,프랑스,0,0,"111,048",0,"52,397",드라마,12세이상관람가,독립/예술영화
1251,쏘우 4,대런 린 보우즈만,,(주)쇼타임,롯데쇼핑㈜롯데엔터테인먼트,2007-11-21,개봉영화,장편,미국,0,0,"273,959",0,"91,302",공포(호러),청소년관람불가,일반영화
1252,골든 에이지,세자르 카푸르,"워킹 타이틀 필름,르 스튜디오 카날+",유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-11-22,개봉영화,장편,영국,0,0,"189,348",0,"74,482",드라마,12세이상관람가,일반영화
1253,귀를 기울이면,곤도 요시후미,스튜디오 지브리,대원미디어(주),대원미디어(주),2007-11-22,개봉영화,장편,일본,1,0,"6,430",0,"6,430",애니메이션,전체관람가,일반영화
1254,마녀배달부 키키,미야자키 하야오,스튜디오 지브리,대원미디어(주),"(주)스마일이엔티,(주)키다리이엔티,대원미디어(주)",2007-11-22,개봉영화,장편,일본,0,0,"23,541",0,"13,199",애니메이션,전체관람가,독립/예술영화
1255,사랑의 유형지,츠루하시 야스오,,(주)케이앤엔터테인먼트,프리비젼엔터테인먼트,2007-11-22,개봉영화,장편,일본,0,0,331,0,223,멜로/로맨스,청소년관람불가,일반영화
1256,애플시드,아라마키 신지,,㈜스튜디오이쩜영,㈜스튜디오이쩜영,2007-11-22,개봉영화,장편,일본,0,0,324,0,222,애니메이션,12세이상관람가,일반영화
1257,웨스트 32번가,마이클 강,CJ ENM,,CJ ENM,2007-11-22,개봉영화,장편,한국,0,0,"8,321",0,"4,554",범죄,15세이상관람가,일반영화
1258,이브닝,라요스 콜타이,,(주)미로비젼,(주)미로비젼,2007-11-22,개봉영화,장편,미국,0,0,"22,921",0,"15,189",드라마,15세이상관람가,일반영화
1259,파라노이드 파크,구스 반 산트,,스폰지,스폰지,2007-11-22,개봉영화,장편,프랑스,0,N/A,"8,851",N/A,"7,501",범죄,15세이상관람가,독립/예술영화
1260,더티댄싱(재개봉),에밀 아돌리노,,(주)즐거운 시네마,(주)즐거운 시네마,2007-11-23,개봉영화,장편,미국,1,0,"7,873",0,"7,873",멜로/로맨스,15세이상관람가,일반영화
1261,마이클 클레이튼,토니 길로이,캐슬 락 엔터테인먼트,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2007-11-29,개봉영화,장편,미국,0,0,"139,301",0,"64,502",스릴러,15세이상관람가,일반영화
1262,수용소의 삶 : 디지털 삼인삼색 2007,"그린 유진,코스타 페드로,파로키 하룬",(재)전주국제영화제조직위원회,,(주)이모션픽처스,2007-11-29,개봉영화,옴니버스,한국,1,0,280,0,280,다큐멘터리,12세이상관람가,독립/예술영화
1263,안경,오기가미 나오코,,스폰지,스폰지,2007-11-29,개봉영화,장편,일본,0,0,"9,997",0,"8,420",드라마,전체관람가,독립/예술영화
1264,어거스트 러쉬,커스틴 쉐리단,사우스포우 엔터테인먼트,"(주)티앤엘엔터테인먼트,CJ ENM","(주)영화사 그램,CJ ENM",2007-11-29,개봉영화,장편,미국,0,N/A,"2,218,573",N/A,"886,657",드라마,전체관람가,일반영화
1265,열한번째 엄마,김진성,"(주)씨스타픽쳐스,몽마루",,(주)쇼박스,2007-11-29,개봉영화,장편,한국,0,0,"350,204",0,"81,433",드라마,12세이상관람가,일반영화
1266,우리 동네,정길영,(주)오브젝트필름,,"CJ ENM,(주)시네마서비스",2007-11-29,개봉영화,장편,한국,0,N/A,"377,591",N/A,"115,407",스릴러,청소년관람불가,일반영화
1267,은하해방전선,윤성호,"은하해방전선 제작위원회,청년필름(주)",,㈜인디스토리,2007-11-29,개봉영화,장편,한국,0,0,"5,841","9,019,500","4,961",코미디,15세이상관람가,독립/예술영화
1268,차밍스쿨 & 볼룸댄스,랜덜 밀러,,(주)미로비젼,(주)미로비젼,2007-11-29,개봉영화,장편,미국,1,0,64,0,64,코미디,15세이상관람가,일반영화
1269,히트맨,자비에르 젠스,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-11-29,개봉영화,장편,미국,0,0,"170,240",0,"48,880",액션,청소년관람불가,일반영화
1270,강을 건너는 사람들,김덕철,광정필름,,(주)영화사 진진,2007-11-30,개봉영화,장편,한국,0,0,315,0,302,다큐멘터리,전체관람가,독립/예술영화
1271,결혼하고도 싱글로 남는법,에릭 라티고,,데이지엔터테인먼트,예지림엔터테인먼트,2007-12-06,개봉영화,장편,프랑스,7,0,"9,381",0,"9,381",멜로/로맨스,15세이상관람가,일반영화
1272,데스 센텐스,제임스 왕,,데이지엔터테인먼트,"영화사청어람(주),(주)엠엔에프씨",2007-12-06,개봉영화,장편,미국,0,0,"90,373",0,"36,397",액션,청소년관람불가,일반영화
1273,상하이의 밤,장 이바이,,대원디지털엔터테인먼트,대원디지털엔터테인먼트,2007-12-06,개봉영화,장편,일본,0,0,"1,422",0,983,멜로/로맨스,12세이상관람가,일반영화
1274,스타트 포 텐,톰 본,HBO필름,라인트리엔터테인먼트,라인트리엔터테인먼트,2007-12-06,개봉영화,장편,영국,0,0,566,0,566,멜로/로맨스,15세이상관람가,일반영화
1275,헤어스프레이,아담 쉥크만,뉴라인 시네마,인터비스앤파트너스(주),㈜케이디미디어,2007-12-06,개봉영화,장편,미국,0,0,"325,171",0,"141,840",드라마,12세이상관람가,일반영화
1276,호스텔,일라이 로스,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-12-06,개봉영화,장편,미국,0,N/A,713,N/A,713,공포(호러),18세관람가,일반영화
1277,나는 전설이다,프란시스 로렌스,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2007-12-12,개봉영화,장편,미국,0,N/A,"2,215,883",N/A,"793,993",SF,12세이상관람가,일반영화
1278,색즉시공 시즌2,윤태윤,(주)두사부필름,,CJ ENM,2007-12-12,개봉영화,장편,한국,0,0,"2,088,134","511,288,500","507,498",코미디,청소년관람불가,일반영화
1279,싸움,한지승,"(주)시네마서비스,상상필름(주)",,(주)시네마서비스,2007-12-12,개봉영화,장편,한국,0,0,"382,422",0,"121,487",멜로/로맨스,15세이상관람가,일반영화
1280,아르헨티나 할머니,나가오 나오키,,(주)프리미어엔터테인먼트,프리비젼엔터테인먼트,2007-12-12,개봉영화,장편,일본,0,N/A,"2,766",N/A,"1,558",드라마,12세이상관람가,독립/예술영화
1281,크리스마스에 기적을 만날 확률,곤 사토시,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2007-12-12,개봉영화,장편,일본,0,N/A,"9,516",N/A,"3,528",애니메이션,12세이상관람가,일반영화
1282,다즐링 주식회사,웨스 앤더슨,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-12-13,개봉영화,장편,미국,0,N/A,"10,418",N/A,"9,396",드라마,15세이상관람가,일반영화
1283,파리에서,크리스토프 오노레,,스폰지,스폰지,2007-12-13,개봉영화,장편,프랑스,0,N/A,"1,626",N/A,"1,224",드라마,15세이상관람가,독립/예술영화
1284,내 사랑,이한,(주)오죤필름,,(주)쇼박스,2007-12-18,개봉영화,장편,한국,0,0,"977,401","432,940,833","358,449",멜로/로맨스,12세이상관람가,일반영화
1285,용의주도 미스신,박용집,"(주)로드픽쳐스,(주)싸이더스",,(주)싸이더스,2007-12-18,개봉영화,장편,한국,0,0,"595,872","95,329,500","157,330",멜로/로맨스,15세이상관람가,일반영화
1286,황금 나침반,크리스 웨이츠,뉴라인 시네마,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2007-12-18,개봉영화,장편,미국,0,N/A,"2,979,838",N/A,"883,918",판타지,전체관람가,일반영화
1287,같은 달을 보고 있다,후카사쿠 켄타,,(주)이모션픽처스,(주)이모션픽처스,2007-12-19,개봉영화,장편,일본,0,N/A,300,N/A,300,드라마,15세이상관람가,일반영화
1288,내셔널 트레져:비밀의 책,존 터틀타웁,"제리 브룩하이머 필름,월트 디즈니 픽쳐스",한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-12-19,개봉영화,장편,미국,0,N/A,"1,756,319",N/A,"522,043",액션,12세이상관람가,일반영화
1289,앨빈과 슈퍼밴드,팀 힐,,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,2007-12-19,개봉영화,장편,미국,0,N/A,"612,936",N/A,"169,784",코미디,전체관람가,일반영화
1290,메리 크리스마스,크리스찬 카리온,,위드시네마,위드시네마,2007-12-20,개봉영화,장편,프랑스,0,N/A,"4,652",N/A,"4,652",드라마,15세이상관람가,독립/예술영화
1291,이토록 뜨거운 순간,에단 호크,,스폰지,스폰지,2007-12-20,개봉영화,장편,미국,0,N/A,"10,312",N/A,"8,201",드라마,청소년관람불가,독립/예술영화
1292,택시 블루스,최하동하,독립프로덕션빨간눈사람,,㈜인디스토리,2007-12-21,개봉영화,장편,한국,0,0,420,0,420,다큐멘터리,청소년관람불가,독립/예술영화
1293,마고리엄의 장난감 백화점,자크 헬름,,㈜스튜디오이쩜영,㈜스튜디오이쩜영,2007-12-24,개봉영화,장편,미국,0,N/A,"635,341",N/A,"171,620",가족,전체관람가,일반영화
1294,가면,양윤호,(주)디알엠엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2007-12-27,개봉영화,장편,한국,0,0,"322,342","285,544,500","93,463",스릴러,청소년관람불가,일반영화
1295,보르히아,안토니오 헤르난데즈,,라인트리엔터테인먼트,라인트리엔터테인먼트,2007-12-27,개봉영화,장편,스페인,0,N/A,211,N/A,211,드라마,청소년관람불가,독립/예술영화
1296,신과 나눈 이야기,스티븐 사이몬,,(주)부귀영화,(주)부귀영화,2007-12-27,개봉영화,장편,미국,0,N/A,565,N/A,365,드라마,전체관람가,일반영화
1297,아메리칸 갱스터,리들리 스콧,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2007-12-27,개봉영화,장편,미국,0,N/A,"403,624",N/A,"176,484",범죄,청소년관람불가,일반영화
1298,일루미나타,존 터투로,,㈜영화사 백두대간,㈜영화사 백두대간,2007-12-27,개봉영화,장편,미국,0,N/A,"3,663",N/A,"3,663",드라마,청소년관람불가,일반영화
